Trait Category,Trait Name,Trait Options,Goniastrea pectinata,Goniastrea retiformis,Platygyra lamellina,Oulophyllia crispa,Oulophyllia bennettae,Caulastrea furcata,Leptoria phrygia,Goniastrea palauensis,Goniastrea australensis,Gloniastrea edwardsi,Goniastrea favulus,Caulastrea curvata,Favites russelli,Favites rotundata,Favites pentagona,Echinopora horrida,Hydnophora rigida,Platygyra daedalea,Platygyra zelli,Coelastrea aspera,,,
OVERALL MORPHOLOGY,Growth type,"Encrusting, 2D, 3D",2D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,3D,2D,3D,3D,3D,3D,,,
,Base of attachment (relative to planar area),"whole (""whole""), partial, limited",partial,partial,partial,partial,partial,partial,whole,partial,partial,whole,whole,partial,partial,partial,partial,partial,partial,whole,partial,whole,,,
,Columns,"absent, 0 - 3 cm (0-3), >3 cm diameter ("">3"")",absent,absent,absent,absent,absent,0-3,absent,absent,absent,absent,absent,0-3,absent,absent,absent,absent ,absent,absent,absent,absent,,,
,Branches or branchlets,"absent, primary, secondary, tertiary",absent,absent,absent,absent,absent,tertiary,absent,absent,absent,absent,absent,tertiary,absent,absent,absent,absent ,tertiary,absent,secondary,absent,,,
,Branch thickness,Measure in mm (at least 5 branches per colony),absent,absent,absent,absent,absent,15,absent,absent,absent,absent,absent,15,absent,absent,absent,absent ,12,absent,2,absent,,,
,Branch spacing,Measure in mm (at least 5 branches per colony),absent,absent,absent,absent,absent,30,absent,absent,absent,absent,absent,30,absent,absent ,absent,absent ,20,absent,5,absent,,,
CORALLITE ARRANGEMENT,Corallite walls,Shared or separate,shared,shared,shared,shared,shared,separate,shared,shared,shared,shared,shared,separate,shared,separate,seperate,separate,shared,shared,shared,shared,,,
,Corallite centres,"Monocentric, 2 - 3 mouths (""2-3""), > 3 mouths ("">3"")",monocentric,monocentric,>3,>3,monocentric,monocentric,>3,monocentric,>3,monocentric,monocentric,monocentric,monocentric,monocentric,monocentric,monocentric,>3,>3,2-3,monocentric,,,
,"Calice size (opening, inner diameter)",Measure in mm (at least 5 corallites),1,0.6,0.4,5,5,5,1,1.5,1.5,1,2,5,3,3,1,1,1,2,2,2,,,
,Wall thickness,Measure in mm (at least 5 corallites),2,1,4,3,3,1,2,2.5,1.75,1.2,1.5,1,8,2.2,0.1,0.7,1,1,2,1,,,
,Outer wall shape,"Absent, straight, sloping",absent,straight,sloping,absent,absent,straight,absent,absent,absent,absent,absent,straight,absent,absent,absent,absent,sloping,straight,straight,absent,,,
,Inner wall shape,"Straight, sloping",sloping,straight,sloping,straight,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,sloping,straight,straight,sloping,,,
,Corallite protrusion,"Plocoid, immersed, or intermediate",immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,immersed,intermediate,plocoid,immersed,immersed,immersed,,,
,Corallite distribution,"Clumped, arranged in rows (""rows""), uniform",uniform,uniform,rows,uniform,uniform,uniform,rows,uniform,uniform,uniform,uniform,uniform,uniform,uniform,uniform,uniform,uniform,clumbed,clumbed,uniform,,,
